indicator,year,geography,fips,race,sex,age_group,misc,rate,cases,population
AIDS deaths,2004,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,1831,28751763
AIDS deaths,2004,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,126,3771348
AIDS deaths,2004,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.3,297,2879604
AIDS deaths,2004,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.4,92,684526
AIDS deaths,2004,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,74.5,369,495199
AIDS deaths,2004,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.4,2400,14601930
AIDS deaths,2004,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.4,825,7207149
AIDS deaths,2004,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.4,3,123018
AIDS deaths,2004,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.3,55,1042212
AIDS deaths,2004,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.6,7,1118512
AIDS deaths,2004,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,603,10329277
AIDS deaths,2004,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,155,5088538
AIDS deaths,2004,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,32,2440390
AIDS deaths,2004,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,37,2233119
AIDS deaths,2004,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,99,3437780
AIDS deaths,2004,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.3,486,3658664
AIDS deaths,2004,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,23,1110432
AIDS deaths,2004,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,17,774,4564536
AIDS deaths,2004,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,323,5405149
AIDS deaths,2004,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,306,8305095
AIDS deaths,2004,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,72,4185808
AIDS deaths,2004,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.4,219,2342053
AIDS deaths,2004,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.5,214,4755256
AIDS deaths,2004,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.6,5,774848
AIDS deaths,2004,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,17,1425825
AIDS deaths,2004,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,120,1888681
AIDS deaths,2004,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,15,1080347
AIDS deaths,2004,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.1,931,7100059
AIDS deaths,2004,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,36,1539356
AIDS deaths,2004,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.8,2696,16034424
AIDS deaths,2004,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.7,398,7030521
AIDS deaths,2004,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,6,534859
AIDS deaths,2004,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,64979
AIDS deaths,2004,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,258,9473030
AIDS deaths,2004,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,92,2886303
AIDS deaths,2004,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,96,2973801
AIDS deaths,2004,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.1,737,10406537
AIDS deaths,2004,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,21.3,671,3153337
AIDS deaths,2004,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.1,46,898544
AIDS deaths,2004,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.5,331,3474605
AIDS deaths,2004,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,5,636806
AIDS deaths,2004,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.6,372,4896355
AIDS deaths,2004,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.6,1366,17859437
AIDS deaths,2004,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16,14,87445
AIDS deaths,2004,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,44,1878925
AIDS deaths,2004,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,9,524697
AIDS deaths,2004,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.1,313,6179207
AIDS deaths,2004,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,169,5107379
AIDS deaths,2004,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,48,1529376
AIDS deaths,2004,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,76,4576243
AIDS deaths,2004,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,4,417898
AIDS deaths,2005,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.1,231,3757364
AIDS deaths,2005,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,9,540712
AIDS deaths,2005,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,42528
AIDS deaths,2005,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.2,202,4819270
AIDS deaths,2005,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,99,2285144
AIDS deaths,2005,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,1728,29035385
AIDS deaths,2005,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,139,3824082
AIDS deaths,2005,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9,261,2890681
AIDS deaths,2005,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.8,103,696358
AIDS deaths,2005,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,68,339,498862
AIDS deaths,2005,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.8,2356,14951599
AIDS deaths,2005,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.5,847,7351551
AIDS deaths,2005,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,1,125501
AIDS deaths,2005,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,29,1056986
AIDS deaths,2005,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,16,1145422
AIDS deaths,2005,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.2,646,10375107
AIDS deaths,2005,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,161,5126419
AIDS deaths,2005,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,31,2450075
AIDS deaths,2005,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,46,2244928
AIDS deaths,2005,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,93,3470442
AIDS deaths,2005,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.2,523,3671779
AIDS deaths,2005,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,17,1116471
AIDS deaths,2005,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,17.9,826,4610293
AIDS deaths,2005,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.6,302,5421895
AIDS deaths,2005,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,306,8335460
AIDS deaths,2005,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,67,4215745
AIDS deaths,2005,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.3,220,2356453
AIDS deaths,2005,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,184,4802739
AIDS deaths,2005,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,14,783936
AIDS deaths,2005,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,27,1434890
AIDS deaths,2005,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.9,135,1954337
AIDS deaths,2005,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,15,1091153
AIDS deaths,2005,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.3,880,7125713
AIDS deaths,2005,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,50,1562245
AIDS deaths,2005,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.4,2642,16115032
AIDS deaths,2005,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,428,7145354
AIDS deaths,2005,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,7,534635
AIDS deaths,2005,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,56699
AIDS deaths,2005,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,299,9505295
AIDS deaths,2005,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,118,2902250
AIDS deaths,2005,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,91,3016649
AIDS deaths,2005,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,631,10454032
AIDS deaths,2005,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,21.6,688,3182048
AIDS deaths,2005,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,37,896408
AIDS deaths,2005,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9,317,3525810
AIDS deaths,2005,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,6,642082
AIDS deaths,2005,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.4,369,4966590
AIDS deaths,2005,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.2,1304,18170075
AIDS deaths,2005,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.5,11,88210
AIDS deaths,2005,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,42,1925007
AIDS deaths,2005,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,10,527289
AIDS deaths,2005,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5,316,6265336
AIDS deaths,2005,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,193,5185697
AIDS deaths,2005,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,33,1531553
AIDS deaths,2005,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,95,4611832
AIDS deaths,2005,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,8,420863
AIDS deaths,2006,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.7,254,3803743
AIDS deaths,2006,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,16,548320
AIDS deaths,2006,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,43548
AIDS deaths,2006,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,218,4992176
AIDS deaths,2006,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,99,2316835
AIDS deaths,2006,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,1689,29255213
AIDS deaths,2006,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,128,3901664
AIDS deaths,2006,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.7,223,2905373
AIDS deaths,2006,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.7,97,708345
AIDS deaths,2006,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,64.6,324,501904
AIDS deaths,2006,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.8,2405,15209155
AIDS deaths,2006,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.6,801,7541296
AIDS deaths,2006,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,2,127974
AIDS deaths,2006,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,38,1067223
AIDS deaths,2006,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,9,1175924
AIDS deaths,2006,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.7,597,10431741
AIDS deaths,2006,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,192,5170411
AIDS deaths,2006,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,31,2463199
AIDS deaths,2006,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,46,2258903
AIDS deaths,2006,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.5,122,3502711
AIDS deaths,2006,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14,487,3488651
AIDS deaths,2006,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,23,1122094
AIDS deaths,2006,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.3,710,4645672
AIDS deaths,2006,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.6,306,5447122
AIDS deaths,2006,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,275,8354732
AIDS deaths,2006,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,76,4255106
AIDS deaths,2006,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.5,224,2357985
AIDS deaths,2006,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4,192,4852675
AIDS deaths,2006,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,9,794590
AIDS deaths,2006,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,29,1442066
AIDS deaths,2006,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,121,2021470
AIDS deaths,2006,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,17,1103428
AIDS deaths,2006,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.4,816,7145838
AIDS deaths,2006,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,65,1585749
AIDS deaths,2006,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.2,2459,16181461
AIDS deaths,2006,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.3,457,7310397
AIDS deaths,2006,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,5,536595
AIDS deaths,2006,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,46926
AIDS deaths,2006,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,295,9538583
AIDS deaths,2006,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,98,2935449
AIDS deaths,2006,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,97,3069036
AIDS deaths,2006,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.6,697,10515895
AIDS deaths,2006,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,19.6,628,3211903
AIDS deaths,2006,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,37,895571
AIDS deaths,2006,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.1,365,3598884
AIDS deaths,2006,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,10,649336
AIDS deaths,2006,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.7,337,5045626
AIDS deaths,2006,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.6,1406,18603127
AIDS deaths,2006,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.3,10,88859
AIDS deaths,2006,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,37,1986102
AIDS deaths,2006,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,10,530255
AIDS deaths,2006,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.5,347,6342103
AIDS deaths,2006,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,152,5285963
AIDS deaths,2006,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,27,1534661
AIDS deaths,2006,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,73,4643677
AIDS deaths,2006,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,4,426103
AIDS deaths,2007,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.3,242,3837215
AIDS deaths,2007,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.5,14,553609
AIDS deaths,2007,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,44574
AIDS deaths,2007,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,186,5124349
AIDS deaths,2007,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.9,114,2337084
AIDS deaths,2007,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,1601,29511575
AIDS deaths,2007,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,126,3973696
AIDS deaths,2007,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8.5,247,2914564
AIDS deaths,2007,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.5,83,718782
AIDS deaths,2007,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,64.2,324,504738
AIDS deaths,2007,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.5,2232,15375064
AIDS deaths,2007,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.8,828,7694977
AIDS deaths,2007,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,5,130439
AIDS deaths,2007,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,40,1068448
AIDS deaths,2007,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,10,1201983
AIDS deaths,2007,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.3,561,10498302
AIDS deaths,2007,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,162,5209546
AIDS deaths,2007,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,27,2475097
AIDS deaths,2007,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,44,2272950
AIDS deaths,2007,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.5,89,3534066
AIDS deaths,2007,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.7,455,3591660
AIDS deaths,2007,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,23,1125664
AIDS deaths,2007,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.4,717,4670828
AIDS deaths,2007,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,244,5485672
AIDS deaths,2007,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,312,8352760
AIDS deaths,2007,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,65,4292726
AIDS deaths,2007,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8.2,195,2374909
AIDS deaths,2007,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,181,4895008
AIDS deaths,2007,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,9,804066
AIDS deaths,2007,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.4,35,1448820
AIDS deaths,2007,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,120,2079404
AIDS deaths,2007,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,14,1111726
AIDS deaths,2007,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.5,751,7170556
AIDS deaths,2007,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,48,1606742
AIDS deaths,2007,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.5,2361,16270495
AIDS deaths,2007,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,402,7460270
AIDS deaths,2007,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.4,2,537657
AIDS deaths,2007,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,45329
AIDS deaths,2007,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,280,9574717
AIDS deaths,2007,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,114,2962486
AIDS deaths,2007,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.8,86,3116799
AIDS deaths,2007,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.5,685,10570882
AIDS deaths,2007,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.9,514,3241820
AIDS deaths,2007,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,33,893190
AIDS deaths,2007,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.1,372,3666592
AIDS deaths,2007,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,12,656035
AIDS deaths,2007,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,309,5116074
AIDS deaths,2007,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.9,1315,18957416
AIDS deaths,2007,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.5,13,89481
AIDS deaths,2007,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,33,2041637
AIDS deaths,2007,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,4,532065
AIDS deaths,2007,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5,318,6404953
AIDS deaths,2007,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,155,5364844
AIDS deaths,2007,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,49,1537640
AIDS deaths,2007,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,75,4672248
AIDS deaths,2007,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.2,1,433541
AIDS deaths,2008,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.9,229,3870996
AIDS deaths,2008,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,15,559346
AIDS deaths,2008,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,45599
AIDS deaths,2008,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,191,5235123
AIDS deaths,2008,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.2,99,2357363
AIDS deaths,2008,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5,1501,29836645
AIDS deaths,2008,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,93,4049693
AIDS deaths,2008,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.8,228,2932812
AIDS deaths,2008,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.2,74,728265
AIDS deaths,2008,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,56.5,287,508021
AIDS deaths,2008,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.5,2100,15508944
AIDS deaths,2008,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.6,753,7826920
AIDS deaths,2008,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,4,132978
